circ_idx,seq,A,G,d,B,P,M,P_enc,G_enc,d_enc,M_enc,P_native_gate_count,G_native_gate_count,d_native_gate_count,M_native_gate_count,full_native_gate_count,remaining_native_gate_count,remaining_wait_num_4-pihalf,remaining_wait_num_pihalf,full_sequence_length
82,Gxpi2:0Gxpi2:0(Gypi2:0)Gxpi2:0Gxpi2:0Gxpi2:0@(0)  576  448,Gxpi2:0Gxpi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,7,6,1,9,2,1,1,3,6,32767,8191,3,8197
83,Gxpi2:0Gxpi2:0(Gypi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  250  774,Gxpi2:0Gxpi2:0,Gypi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,7,6,1,10,2,1,1,3,6,32767,8191,3,8197
84,Gxpi2:0Gxpi2:0Gxpi2:0(Gypi2:0)Gxpi2:0@(0)  838  186,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,1,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,9,6,1,5,3,1,1,1,5,32768,8192,0,8195
85,Gxpi2:0Gxpi2:0Gxpi2:0(Gypi2:0)Gypi2:0@(0)  534  490,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,1,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,9,6,1,6,3,1,1,1,5,32768,8192,0,8195
86,Gxpi2:0Gxpi2:0Gxpi2:0(Gypi2:0)Gxpi2:0Gxpi2:0@(0)  565  459,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,9,6,1,7,3,1,1,2,6,32767,8191,3,8197
87,Gxpi2:0Gxpi2:0Gxpi2:0(Gypi2:0)Gxpi2:0Gxpi2:0Gxpi2:0@(0)  252  772,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,9,6,1,9,3,1,1,3,7,32766,8191,2,8196
88,Gxpi2:0Gxpi2:0Gxpi2:0(Gypi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  545  479,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,9,6,1,10,3,1,1,3,7,32766,8191,2,8196
89,Gypi2:0Gypi2:0Gypi2:0(Gypi2:0)Gxpi2:0@(0)  581  443,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,1,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,10,6,1,5,3,1,1,1,5,32768,8192,0,8195
90,Gypi2:0Gypi2:0Gypi2:0(Gypi2:0)Gxpi2:0Gxpi2:0@(0)  248  776,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0,10,6,1,7,3,1,1,2,6,32767,8191,3,8197
91,Gypi2:0Gypi2:0Gypi2:0(Gypi2:0)Gxpi2:0Gxpi2:0Gxpi2:0@(0)  555  469,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,10,6,1,9,3,1,1,3,7,32766,8191,2,8196
92,Gypi2:0Gypi2:0Gypi2:0(Gypi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  587  437,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,10,6,1,10,3,1,1,3,7,32766,8191,2,8196
93,([])^2Gxpi2:0@(0)  575  449,,[],2,Gxpi2:0,,Gxpi2:0,-1,4,2,5,0,4,2,1,9,32764,8191,0,8194
94,([])^2Gypi2:0@(0)  542  482,,[],2,Gypi2:0,,Gypi2:0,-1,4,2,6,0,4,2,1,9,32764,8191,0,8194
95,([])^2Gxpi2:0Gxpi2:0@(0)  254  770,,[],2,Gxpi2:0Gxpi2:0,,Gxpi2:0Gxpi2:0,-1,4,2,7,0,4,2,2,10,32763,8190,3,8196
